Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
04/12/2023, 10:53:39, 79.5, 22.8, 
04/12/2023, 10:53:40, 79.5, 22.8, 
04/12/2023, 10:53:41, 79.5, 22.8, 
04/12/2023, 10:53:42, 79.5, 22.8, 
04/12/2023, 10:53:43, 79.5, 22.8, 
04/12/2023, 10:53:44, 79.5, 22.8, 
04/12/2023, 10:53:45, 79.5, 22.8, 
04/12/2023, 10:53:46, 79.5, 22.8, 
04/12/2023, 10:53:47, 79.5, 22.8, 
04/12/2023, 10:53:48, 79.5, 22.8, 
04/12/2023, 10:53:49, 79.5, 22.8, 
04/12/2023, 10:53:50, 79.5, 22.8, 
04/12/2023, 10:53:51, 79.5, 22.8, 
04/12/2023, 10:53:52, 79.5, 22.8, 
04/12/2023, 10:53:53, 79.5, 22.8, 
04/12/2023, 10:53:54, 79.5, 22.8, 
04/12/2023, 10:53:55, 79.5, 22.8, 
04/12/2023, 10:53:56, 79.5, 22.8, 
04/12/2023, 10:53:57, 79.5, 22.8, 
04/12/2023, 10:53:58, 79.5, 22.8, 
04/12/2023, 10:53:59, 79.5, 22.8, 
04/12/2023, 10:54:00, 79.5, 22.8, 
04/12/2023, 10:54:01, 79.5, 22.8, 
04/12/2023, 10:54:02, 79.5, 22.8, 
04/12/2023, 10:54:03, 79.5, 22.8, 
04/12/2023, 10:54:04, 79.5, 22.8, 
04/12/2023, 10:54:05, 79.5, 22.8, 
04/12/2023, 10:54:06, 79.5, 22.8, 
04/12/2023, 10:54:07, 79.5, 22.8, 
04/12/2023, 10:54:08, 79.6, 22.8, 
04/12/2023, 10:54:09, 79.6, 22.8, 
04/12/2023, 10:54:10, 79.5, 22.8, 
04/12/2023, 10:54:11, 79.6, 22.8, 
04/12/2023, 10:54:12, 79.6, 22.8, 
04/12/2023, 10:54:13, 79.6, 22.8, 
04/12/2023, 10:54:14, 79.6, 22.8, 
04/12/2023, 10:54:15, 79.6, 22.8, 
04/12/2023, 10:54:16, 79.6, 22.8, 
04/12/2023, 10:54:17, 79.6, 22.8, 
04/12/2023, 10:54:18, 79.6, 22.8, 
04/12/2023, 10:54:19, 79.6, 22.8, 
04/12/2023, 10:54:20, 79.6, 22.8, 
04/12/2023, 10:54:21, 79.6, 22.8, 
04/12/2023, 10:54:22, 79.6, 22.8, 
04/12/2023, 10:54:23, 79.6, 22.8, 
04/12/2023, 10:54:24, 79.6, 22.8, 
04/12/2023, 10:54:25, 79.6, 22.8, 
04/12/2023, 10:54:26, 79.6, 22.8, 
04/12/2023, 10:54:27, 79.6, 22.8, 
04/12/2023, 10:54:28, 79.6, 22.8, 
04/12/2023, 10:54:29, 79.6, 22.8, 
04/12/2023, 10:54:30, 79.6, 22.8, 
04/12/2023, 10:54:31, 79.6, 22.8, 
04/12/2023, 10:54:32, 79.6, 22.8, 
04/12/2023, 10:54:33, 79.6, 22.8, 
04/12/2023, 10:54:34, 79.7, 22.8, 
04/12/2023, 10:54:35, 79.7, 22.8, 
04/12/2023, 10:54:36, 79.7, 22.8, 
04/12/2023, 10:54:37, 79.7, 22.8, 
04/12/2023, 10:54:38, 79.7, 22.8, 
04/12/2023, 10:54:39, 79.7, 22.8, 
04/12/2023, 10:54:40, 79.7, 22.8, 
04/12/2023, 10:54:41, 79.7, 22.8, 
04/12/2023, 10:54:42, 79.7, 22.8, 
04/12/2023, 10:54:43, 79.7, 22.8, 
04/12/2023, 10:54:44, 79.7, 22.8, 
04/12/2023, 10:54:45, 79.7, 22.8, 
