Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\COMP_Water_SMPS_100nm700nm_20230523.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23
Start Time,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01,13:04:00,13:07:00
Diameter Midpoint
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394,723.394
Density(g/cc),1,1,1,1,1,1,1,1,1,1,1,1
Title,,,,,,,,,,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
tf(s),5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091,593.091
Median(nm),222.222,25.0234,20.0757,24.8604,25.2263,22.0425,63.9889,357.95,25.6034,25.9015,25.1712,25.079
Mean(nm),282.501,37.5101,45.2512,38.0017,38.2404,42.242,105.376,300.226,38.4408,39.1087,37.7453,37.6358
Geo. Mean(nm),201.082,30.4298,33.2118,30.5807,30.8718,32.6981,70.6562,186.862,31.1368,31.5269,30.5826,30.5299
Mode(nm),187.688,16.2531,16.2531,16.2531,16.2531,16.2531,28.9026,593.523,16.2531,16.2531,16.2531,16.2531
Geo. Std. Dev.,2.59663,1.79204,2.11308,1.81248,1.81005,1.98348,2.46602,3.19676,1.80677,1.81807,1.79744,1.79555
Total Concentration(#/cm³),1796.17,430000,258721,418903,421718,295136,571.084,1202.89,392165,378583,405117,411850
Comment,,,,,,,,,,,,
