Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023
Start Time,12:34:02,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00
Sample Temp (C),22.7,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
Sample Pressure (kPa),74.7,80.5,80.5,80.5,80.5,80.6,80.3,80.3,80.5,80.5,80.6,80.5
Relative Humidity (%),24.9,25.2,26.5,27.5,27.0,26.4,26.4,27.8,28.8,27.1,25.5,24.3
Mean Free Path (m),9.11474e-008,8.45439e-008,8.45802e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.47909e-008,8.47909e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.45802e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
385.4,89.263,19.493,5.568,11.715,0.000,198.914,229.989,13.097,0.000,5.962,1.940,0.000
399.5,36.958,4.500,42.640,20.197,0.000,203.229,177.816,2.775,0.000,46.858,21.008,0.000
414.2,159.788,113.222,136.261,79.133,89.886,122.122,129.914,80.489,70.853,88.065,93.843,73.330
429.4,233.864,132.240,116.862,102.584,124.984,169.869,162.989,145.252,98.661,82.078,114.604,90.579
445.1,176.713,139.879,145.879,106.916,113.596,60.054,108.273,78.387,92.209,98.390,88.820,103.504
461.4,150.304,79.929,158.336,91.922,115.576,79.789,82.942,60.797,102.092,93.899,117.228,62.857
478.3,152.831,96.917,101.940,102.314,81.217,81.206,66.574,75.271,58.974,84.323,78.465,47.697
495.8,134.902,73.277,87.833,84.938,96.347,56.667,45.256,76.352,73.879,76.789,71.700,65.526
514.0,200.118,74.294,108.594,80.429,66.373,66.364,46.203,65.933,72.341,72.170,57.400,51.805
532.8,182.140,58.815,93.873,79.616,79.379,26.455,32.320,65.985,79.593,76.956,62.086,67.741
552.3,167.692,47.678,103.592,101.782,86.418,20.970,23.955,56.058,55.376,66.155,60.133,76.326
572.5,169.613,115.452,116.326,119.830,105.573,30.544,12.212,73.536,84.882,104.239,101.161,81.750
593.5,195.661,98.494,110.365,135.237,97.763,24.754,9.279,100.121,72.490,55.945,69.948,72.435
615.3,170.875,113.052,158.465,121.600,86.911,9.471,6.311,123.165,106.052,98.358,84.136,99.632
637.8,269.803,128.867,182.211,123.823,107.912,9.667,6.442,117.602,104.102,135.689,91.030,103.321
661.2,205.649,153.964,192.638,155.850,153.583,6.534,9.797,148.808,119.169,134.461,140.266,111.304
685.4,257.925,192.767,196.644,167.633,126.846,6.675,3.336,134.886,164.211,97.153,119.403,132.570
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.04,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.12,1.12,1.12,1.12
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.25,11.04,11.07,11.07,11.07,11.08,11.04,11.04,11.07,11.07,11.08,11.07
High Voltage (V),9088.98,9225.80,9201.69,9201.40,9203.14,9205.78,9198.71,9198.42,9203.14,9204.30,9206.94,9204.59
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
tf (s),6.14,6.01,6.01,6.01,6.02,6.02,6.01,6.01,6.02,6.02,6.02,6.02
D50 (nm),699.1,674.8,674.6,676.6,676.9,677.0,676.4,676.4,677.9,678.3,678.4,677.6
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),98.532,27.206,21.678,26.949,27.431,23.470,83.789,62.459,28.021,28.412,27.325,27.146
Mean (nm),156.191,41.895,45.342,42.532,42.864,43.341,132.767,103.162,43.616,44.251,42.274,41.911
Geo. Mean (nm),100.504,33.278,32.909,33.481,33.845,32.567,86.371,67.169,34.413,34.845,33.457,33.220
Mode (nm),216.739,16.253,16.253,16.253,16.253,16.253,268.960,101.815,16.253,16.253,16.253,16.253
Geo. Std. Dev.,2.693,1.878,2.133,1.903,1.898,2.022,2.630,2.361,1.905,1.913,1.887,1.880
Total Conc. (#/cm³),6.237856e+002,2.995651e+005,2.132402e+005,2.909848e+005,2.999407e+005,2.495542e+005,4.264439e+002,3.704605e+002,2.634561e+005,2.587483e+005,2.798430e+005,2.854723e+005
Title,,,,,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,,,,,
Instrument ID,,,,,,,,,,,,
Lab ID,,,,,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,,,,,
