Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Diameter Midpoint
 71.0,0,0,862030,590724,460742,378809,323511,279087,243485,219707,191867,173854,154601,141208,126288,113425,105463,96767.8,89120,80077.1,76405.3,70639.3,64719.5,59951.1,56763.2,52805.3,50266.6,47100.5,44299.9,40521.2,38924.8,37278.1,33979.8,32737.6,29852.4,28630.9,27092.6,25505.2
 73.7,0,0,1.07586e+006,634987,498743,411269,349475,303509,269883,240764,212556,189973,172167,157404,141694,128715,118721,109208,100138,92247.5,86309.9,79684.9,73951.7,69193.7,64808.1,60481.5,56462.1,54220.1,49252,47685.6,45216.3,41078.4,38113.6,37313,34354.9,32898.6,30553.9,29513.7
 76.4,0,0,1.27628e+006,686871,536822,449200,381379,334249,295129,265356,233540,213262,192995,174371,157206,143479,133596,119165,112819,103796,97140,90337.2,82549.3,78948.3,73411.8,70224.4,66659.9,59683.2,57353.4,53250.8,50501.3,47736.1,44139,43052.5,39323.5,37055.1,35881.3,33479.4
 79.1,0,0,1.4239e+006,733736,576064,480113,416432,362828,322190,288616,253317,230944,211611,193582,175327,160792,147649,135224,124617,114985,108625,98901.3,94462.3,88832.5,81978.6,78474,72901.8,67875.7,62615.3,61002.8,57181.5,53754.3,51076.7,48046.4,43355.7,41491.9,39909.6,38078.7
 82.0,0,5.86214,1.52191e+006,774767,613971,517652,442729,390298,346535,313969,277224,255143,230615,211039,190276,174426,161546,150253,139967,128382,117530,108091,103882,96522.3,92829.1,85103.2,79640.8,75318.6,71484.4,68869.4,62873.6,59030,55246.2,54191.7,49268.2,47860.9,46604.6,43441
 85.1,0,0,1.55939e+006,821796,654863,552832,472570,417306,369568,335404,301681,273592,250515,228343,208089,189839,178301,164209,149818,139152,129638,120805,114621,106543,99025.5,95126.5,89354.9,82031.1,79236.2,75963.4,70601.9,66647.3,63255.5,59194.8,56097.4,52187.3,49394.6,46821.1
 88.2,0,0,1.58868e+006,865884,686583,579452,502191,445353,391959,357107,319558,293826,267475,247850,224907,206040,192728,176813,164324,152045,143037,134026,124416,115949,109903,105344,97657.2,93796.1,89365.6,83514.5,77357,74811.6,69949.3,67830.7,59710.9,58752.3,55628.5,53815.7
 91.4,0,0,1.60646e+006,904915,722843,608311,533492,467574,420484,383995,344132,314067,285185,261813,236561,219608,207070,190204,178403,165148,151558,143202,135388,127472,121498,114954,106590,101809,94673.4,90059.5,84898.4,81077.2,75462.1,71606.1,65818.3,64618.8,60732,57989
 94.7,5.61637,0,1.62533e+006,939850,744602,634459,555870,485891,438059,399424,363854,328995,300774,281407,252826,236021,222969,207068,191304,176040,163876,154702,144391,136248,131266,125886,115689,108659,104671,97649.3,92423.2,87848.5,81491.2,78312.2,69878.9,69556.5,66334.7,63842.6
 98.2,0,5.57193,1.65019e+006,969467,776511,659881,578046,507125,464985,419624,382669,347816,319959,292523,270527,249126,235266,219528,204730,188177,175232,165678,153324,149128,140638,131847,125463,118177,113224,106463,100860,95955.5,90193.2,85184.3,77875.6,75187.1,71472.8,69055.4
