Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 40.0,0.000,0.000,4.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.062,0.000,3.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.054,0.000,0.000,506724.310,169411.663,108161.384,70091.706,48087.549,32763.163,22812.302,16348.315,12016.186,8780.334,6788.314,5173.591,4066.926,3218.873,2400.549,2025.193,1707.244,1240.968,1166.185,1033.384,711.361,718.432,742.591,498.202,402.264,401.088
 41.4,0.000,0.000,3.953,3.954,0.000,7.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,832959.898,171578.556,109917.010,71982.288,49185.743,35289.098,24871.174,17534.276,13369.532,10321.978,7437.583,5981.007,4880.447,4048.874,3174.472,2162.102,1977.966,1535.515,1268.030,1162.972,1133.279,840.249,694.136,573.996,484.971,474.170
 42.9,0.000,3.829,0.000,3.645,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.822,0.000,0.000,0.000,0.000,3.822,0.000,0.000,0.000,0.000,0.000,3.644,1032849.677,171409.219,112168.599,75940.488,52498.791,37892.110,26961.438,19143.602,14754.188,11768.444,8761.896,6602.578,5261.551,4431.837,3574.672,2817.477,2406.623,1993.782,1510.183,1450.066,1291.626,1094.845,925.474,680.362,702.984,596.650
 44.5,10.855,0.000,0.000,0.000,0.000,3.404,3.412,0.000,0.000,0.000,0.000,0.000,7.262,3.705,0.000,3.705,0.000,0.000,0.000,0.000,3.622,7.243,0.000,0.000,0.000,0.000,0.000,973492.213,173166.092,114448.308,79124.306,55786.586,40560.321,29417.274,21339.152,16034.692,12890.146,9970.371,7935.329,6108.651,5087.743,4212.559,3022.159,2759.302,2364.893,1954.623,1756.247,1484.571,1291.178,1233.711,886.792,811.089,759.888
 46.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.232,7.245,0.000,3.503,0.000,0.000,3.530,0.000,0.000,0.000,3.296,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,823156.225,176872.346,117421.730,83648.492,60001.789,42849.840,31280.476,23801.658,18052.930,14639.984,11611.236,8942.356,7101.500,5917.757,4675.084,4101.891,3231.207,2589.045,2395.694,2144.466,1661.761,1538.772,1304.670,883.976,827.532,708.753
 47.8,0.000,0.000,0.000,3.516,6.743,0.000,3.516,0.000,0.000,0.000,3.251,0.000,2.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,647171.241,179646.946,124089.859,88099.766,62628.381,47929.061,34210.700,26523.644,20052.255,16482.603,12991.738,10281.489,8243.631,6930.000,5860.300,5075.497,4116.494,3515.912,2951.901,2507.323,2279.757,2067.336,1681.548,1379.257,1097.078,1155.821
 49.6,0.000,0.000,3.283,3.307,0.000,3.436,0.000,3.177,0.000,3.282,2.972,0.000,1.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.147,0.000,0.000,0.000,0.000,0.000,0.000,488961.718,187513.752,130925.244,95237.253,69671.119,53263.200,39534.707,30729.805,23655.360,19735.297,15518.338,13110.513,10118.326,8907.503,7623.569,5835.861,5080.836,4276.900,3825.444,3501.402,3273.774,2919.290,2332.713,1987.858,1804.864,1596.539
 51.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.180,0.000,0.000,0.000,0.000,368872.557,194856.522,138514.913,101974.837,74752.102,58267.006,44599.420,34646.799,28084.262,21904.897,17619.123,14760.292,12470.596,10931.373,9218.289,7392.780,6240.782,5678.242,5039.070,4501.818,4066.467,3619.917,3051.573,2712.015,2455.055,1992.210
 53.3,0.000,0.000,0.000,2.522,2.906,0.000,0.000,0.000,0.000,0.000,3.269,2.727,0.000,0.000,0.000,0.000,9.614,0.000,0.000,1.828,0.000,0.000,0.000,0.000,0.000,2.857,6.525,289878.232,201777.252,146588.950,111523.195,80697.721,62808.586,49716.287,38451.565,30445.470,25545.750,20510.740,16950.675,14413.235,12214.119,10713.973,8925.479,7640.865,6834.587,5750.555,5022.169,4862.801,4383.737,3828.973,3407.782,3113.399,2781.856
 55.2,0.000,0.000,0.000,0.000,3.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.229,0.000,0.000,2.613,1.261,0.000,0.000,3.193,0.000,0.000,3.128,0.000,253482.739,214046.706,155485.581,120461.528,89912.668,71805.518,54000.046,43235.145,34249.513,28161.291,23492.854,19339.705,17196.555,14509.644,12923.731,10368.890,8881.773,7936.653,7024.233,6395.592,6353.871,5294.828,4653.462,4256.963,3629.997,2975.766
