Relative Humidity (%),32.1,38.0,42.7,46.4,49.5,52.2,54.7,56.7,58.5,60.0,61.3,62.3,63.2,63.9,64.5,65.0,65.6,66.1
Mean Free Path (m),8.42487e-008,8.43536e-008,8.43536e-008,8.43901e-008,8.43901e-008,8.44265e-008,8.44629e-008,8.45358e-008,8.46087e-008,8.46816e-008,8.47545e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.46816e-008,8.47872e-008
Gas Viscosity (Pa*s),1.82528e-005,1.82528e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82863e-005,1.82958e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
371.8,2.970,0.000,0.000,0.000,12379.211,12223.726,12843.863,13589.737,13493.893,12576.146,12291.120,12233.027,11649.801,11438.074,11189.350,10609.021,11061.331,10179.476
385.4,3.017,0.000,0.000,0.000,8182.163,8335.940,8491.910,9432.450,8857.883,8310.975,8309.637,8025.091,7347.970,7668.617,7543.918,7058.098,7362.157,6886.910
399.5,0.000,0.000,0.000,3.037,5790.019,5444.889,5588.162,6592.210,6228.882,5495.268,5227.671,5390.436,5032.355,4809.238,4728.108,4544.257,4850.344,4680.791
414.2,1.712,0.000,0.000,0.000,3928.180,3881.157,3862.611,4714.383,4457.002,3533.252,3660.176,3722.075,3401.780,3117.809,3055.902,2790.329,3130.946,3123.410
429.4,0.000,0.000,0.000,0.000,2513.075,2659.033,2559.740,3297.168,3117.064,2571.575,2572.645,2571.390,2105.180,2249.940,1791.617,1777.000,2226.629,2184.447
445.1,22.428,0.000,0.000,0.000,1863.651,1861.189,1670.557,2515.461,2201.595,1726.399,1902.164,1740.807,1361.144,1419.812,1218.039,1294.329,1462.917,1344.210
461.4,45.636,0.000,0.000,0.000,1320.571,1218.522,1297.161,1803.754,1645.210,1369.746,1624.862,1409.377,900.536,1003.965,855.773,887.864,901.031,909.714
478.3,23.222,0.000,0.000,0.000,845.189,851.368,1198.187,1518.831,1291.038,1031.018,1184.645,1212.340,654.600,803.503,631.946,724.719,613.374,647.028
495.8,6.713,0.000,0.000,0.000,826.000,815.280,1187.640,1482.637,1097.760,849.948,1067.353,962.689,437.893,570.921,428.733,690.876,477.785,396.615
514.0,3.418,0.000,0.000,0.000,682.371,757.656,1266.166,1383.344,1026.885,854.782,985.309,873.319,522.800,343.936,476.297,606.076,425.295,323.151
