Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230522_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Diameter Midpoint
322.0,6.44078,6.44078,26926.1,21941.7,22547.4,23774.5,23686.7,23788.7,24390.6,24878.7,24458.6,24968.7,25798.8,24473.1,25154.5,23995.2,24306.5,23802.2,23645.3,23962.3,23458.6,22838.6,21970
333.8,0,0,18540.3,15643.2,16644.9,18087.2,17863.7,17923.8,17981.6,18483.2,19123.7,18657.9,19059.4,18725.9,19175,18004.9,18137.5,18504.2,17438,17392.2,16746,17278.4,17276.6
346.0,0,0,12891.3,12016.3,12870,12822.2,13121.7,13765.6,13462.8,13914.3,13825.5,13409.3,14104.1,14043.7,13518.6,13609.5,13635.7,13162.5,13533.4,13444.9,12732.6,12402.8,12332.3
358.7,0,0,9022.99,8305.49,9162.38,9288.4,9274.85,9855.17,9917.76,9477.89,9717.02,9857.35,9816.7,9813.48,9780.82,9645.91,9616.99,9363.22,9709.35,9717.47,9310.84,9037.65,9751.2
371.8,0,0,6367.02,5963.79,6336.04,6583.75,6855.08,6712.48,6951.85,6809.65,7046.3,7231.7,6905.17,7071.23,7254.98,6949.08,6722.3,6989.4,6946.26,6946.94,6926.78,7010.59,6516.85
385.4,0,0,4347,4114.48,4420.33,4656.49,4771.46,4815.97,5008.79,4793.35,4895.57,4915.05,5034.57,5102.92,5195.41,4861.84,4933.02,5018.21,4807.69,4566.86,4459.35,4668.36,4644.66
399.5,0,0,3208.75,2808.43,3148.84,3172.11,3483.56,3410.58,3126.29,3199.88,3553.82,3291.72,3239.09,3339.81,3208.65,3367.99,3132.71,3117.35,3186.79,3165,3068.31,3305.24,3204.37
414.2,0,0,2132.95,1946.67,1924.75,2051.74,2225.76,2083.36,2332.62,2512.37,2315.77,2206.21,2256.38,2287.86,2464.73,2152.7,1969.09,2294.13,2292.8,2157.99,2107.44,1939.92,2164.89
429.4,0,0,1228,1288.88,1444.56,1578.94,1530.06,1504.11,1707.75,1633.81,1466.09,1462.72,1593.7,1532.09,1580.53,1472.02,1414.59,1467.26,1178.36,1541.9,1486.73,1400.7,1468.37
445.1,0,0,1063.24,1059.85,986.955,902.286,935.484,1101.78,870.883,903.59,1002.39,996.491,1030.04,947.933,1049.24,768.693,934.7,973.551,923.08,1003.58,783.821,850.378,809.686
461.4,0,0,760.871,586.279,587.217,703.767,634.205,729.014,556.698,669.216,697.276,679.443,491.93,662.213,650.989,639.116,688.569,636.605,549.041,656.47,617.31,593.229,560.376
478.3,0,0,532.385,347.498,498.106,548.131,309.218,455.563,475.609,440.561,540.883,478.594,410.531,522.623,434.603,437.563,404.3,438.306,490.598,340.76,459.578,401.785,263.182
495.8,0,0,322.022,315.41,213.731,270.552,330.946,217.832,299.69,312.904,266.262,347.926,301.468,281.987,228.055,358.106,204.085,349.177,268.424,241.08,255.549,262.878,212.131
514.0,0,0,249.078,175.635,250.818,202.982,197.859,221.255,251.166,251.166,237.665,164.692,185.057,221.603,236.153,214.74,218.696,186.573,235.805,199.727,167.952,245.699,203.682
