Relative Humidity (%),18.3,16.9,15.7,14.7,13.9,13.2,12.5,12.0,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7
Mean Free Path (m),8.49661e-008,8.49661e-008,8.49661e-008,8.49661e-008,8.50026e-008,8.49661e-008,8.48966e-008,8.50026e-008,8.50026e-008,8.51089e-008,8.51089e-008,8.51788e-008,8.51788e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.54998e-008,8.56073e-008,8.55705e-008,8.56783e-008,8.56783e-008,8.56783e-008,8.57863e-008,8.57863e-008,8.57863e-008,8.58946e-008,8.58946e-008,8.58946e-008,8.58946e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
 53.3,0.000,0.000,0.000,168170.428,123545.884,96752.253,78282.095,64233.854,52391.861,42958.722,37507.050,31257.141,26954.132,22237.660,19473.623,16962.089,14658.869,12651.973,10813.978,9668.753,8692.453,7788.577,6881.043,6356.214,6975.988,6147.370,5966.087,5507.965,5120.591
 55.2,0.000,0.000,0.000,183886.003,132824.487,106493.528,86425.210,71769.741,58975.232,48911.916,41804.996,34888.190,29994.146,26335.776,21481.166,19628.073,16884.827,14391.761,12788.655,11713.345,9816.201,9159.699,8504.916,8120.959,8291.913,7414.079,7143.094,6772.478,5897.452
 57.3,0.000,0.000,0.000,197781.346,146040.887,116191.680,96248.115,79115.184,65468.595,56224.700,47514.618,38935.558,34361.306,29586.037,24925.178,22154.672,18738.685,16364.826,15045.052,13881.410,12019.118,11413.632,10092.660,9155.240,9619.649,9289.081,8796.909,7779.337,7083.487
 59.4,0.000,0.000,0.000,215429.384,157380.438,126098.826,106011.409,86472.897,71892.414,61443.754,53306.934,44419.943,38560.518,34472.646,28655.411,25698.240,22483.239,19365.863,17723.892,16002.687,14201.968,12423.973,11470.735,10874.329,11821.825,10914.651,10005.425,9049.248,8271.760
 61.5,0.000,0.000,0.000,235261.011,173301.646,139410.229,116307.041,97835.468,80348.271,69143.546,59204.961,50171.809,42494.549,38740.196,33531.996,29069.832,26156.985,22270.855,20366.376,18305.406,16388.660,14473.317,13298.789,12826.742,14291.327,12538.678,12873.827,11114.640,9202.227
 63.8,0.000,0.000,0.000,255024.454,186179.573,151688.206,122053.687,106685.358,87551.333,75971.031,65587.664,57298.278,49479.049,42680.425,38377.553,33185.015,29184.156,25327.471,23662.052,21459.887,18868.704,17079.665,15528.293,14414.388,15670.434,14730.619,13819.144,11757.208,11747.741
 66.1,0.000,0.000,0.000,273491.709,199527.326,163712.479,137684.416,115536.209,95019.563,83710.842,73741.697,63183.315,55206.761,47198.234,42194.720,37873.072,31554.380,28677.571,26523.141,24198.548,21073.410,19393.522,18206.948,16667.941,18369.122,17026.243,15648.782,14315.854,13350.142
 68.5,0.000,0.000,0.000,287223.891,219810.793,176977.637,149756.858,127104.739,107488.394,92188.863,79294.909,71990.179,62030.552,52354.218,45842.794,41355.730,37079.162,32105.265,30038.802,26377.156,23949.345,21697.602,20685.828,18790.726,20681.943,19024.328,18027.859,16353.641,15221.528
 71.0,0.000,0.000,0.000,293421.860,220393.641,181701.219,153935.039,127417.852,110162.135,93878.785,81877.961,71315.713,63427.019,53522.257,48077.174,42476.882,38652.847,33247.283,31358.676,27202.994,24841.020,22657.670,21395.672,19234.540,20867.328,20397.107,17761.707,16841.079,15633.227
 73.7,0.000,0.000,164947.308,302451.807,224135.766,187405.888,156566.957,132110.758,112970.941,97091.954,85200.006,73569.019,64757.325,57639.258,49064.926,43643.640,39316.323,34426.917,31975.050,28206.917,26142.328,23561.976,22458.017,20048.281,21443.159,21328.789,19166.645,17751.646,15208.917
 76.4,0.000,0.000,721540.443,324795.419,239231.482,197094.787,171315.749,145405.107,122968.157,105896.864,91402.180,80369.842,69883.625,63467.539,54878.805,48714.652,43455.203,37667.430,35668.508,31979.595,30167.231,26649.355,23674.954,22403.754,24751.508,22061.731,22384.199,19656.721,17756.652
 79.1,2.222,0.000,1404989.891,346845.968,254647.322,211417.428,178370.245,152889.450,131199.298,115230.004,96674.627,85425.646,76399.822,68200.314,61390.644,52383.175,48248.338,42759.608,38471.755,34710.847,31331.295,30297.507,26908.361,24552.789,26931.742,25243.663,23407.173,21512.902,20144.184
 82.0,0.000,0.000,2134137.043,359889.716,268640.082,223499.526,192528.067,164858.292,143297.764,125082.121,106712.473,95655.701,80401.785,74949.081,66397.575,58928.843,50545.188,46817.486,43461.745,39100.675,35317.118,32587.580,28381.251,26337.628,30308.849,28407.180,25964.410,24371.791,23121.725
 85.1,0.000,0.000,2747254.536,384829.390,281597.347,235540.229,205078.962,177484.536,152461.537,131661.598,115311.968,102196.972,90495.951,81273.952,71617.414,63493.183,54550.072,51693.916,46818.639,42246.944,37776.781,36026.669,31083.480,30519.166,32129.482,31051.423,29211.737,26886.689,25653.418
 88.2,0.000,0.000,2963465.813,394876.228,300323.263,251196.340,218270.919,187168.670,164045.757,142027.568,125923.585,112998.832,97923.962,88939.182,77137.550,68370.376,61882.984,56915.879,49256.737,45607.445,41929.207,38520.820,36263.455,31764.422,34829.585,33574.161,30873.774,30071.567,28111.630
 91.4,0.000,0.000,3047806.166,404486.558,311194.280,264690.149,226283.503,201647.715,173349.217,151510.116,135587.440,121101.346,105384.680,96146.309,82947.215,73497.764,65207.244,61061.561,55095.752,51095.784,45621.406,42538.172,38443.468,35993.993,38744.352,36812.692,34300.402,32192.474,30493.925
 94.7,1.833,0.000,2910163.389,421859.123,326898.968,280095.292,246525.169,212718.125,183735.721,162733.549,143736.470,128363.378,113110.024,101551.257,85875.020,79267.778,71330.134,66555.104,58766.943,54584.567,50166.610,45691.090,41934.868,38470.139,42849.709,40308.038,38686.359,36226.266,33753.249
