Relative Humidity (%),28.1,25.3,23.1,21.1,19.5,18.1,17.0,15.9,15.1,14.3,13.7,13.1,12.6,12.2,11.8,11.4,11.1,10.9,10.6,10.4,10.2,10.1,9.9,12.4,18.7,24.7,30.1
Mean Free Path (m),8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.46087e-008,8.45722e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.47142e-008,8.46087e-008,8.47142e-008,8.47142e-008,8.47142e-008,8.47142e-008
Gas Viscosity (Pa*s),1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 82.0,1.136,0.000,104137.349,226375.176,198007.026,174415.441,154701.747,146230.836,129448.536,118372.448,112068.598,100479.455,93352.187,84949.200,78741.101,73525.468,67537.241,62845.286,60212.404,56611.312,50927.415,49158.197,55854.856,53580.741,51490.211,49089.091,48643.741
 85.1,0.000,3.096,83263.214,236121.834,205580.880,187374.067,167057.499,154446.483,138979.994,129024.267,119355.447,108827.114,102806.749,91785.711,86396.951,79668.657,74452.775,69617.642,63627.086,62310.580,58066.612,53987.326,61422.898,60101.555,57373.012,56037.666,53203.149
 88.2,4.201,0.000,65297.481,253317.678,219298.239,196002.467,174656.791,169008.001,149205.994,142615.879,129010.515,120199.353,109633.824,101374.719,95026.917,87617.624,81560.153,76759.789,70674.006,67739.694,64358.304,60006.497,69039.643,65257.268,62519.860,59062.735,58090.539
 91.4,0.000,1.001,51079.060,266908.797,232490.850,209936.196,188526.573,177970.895,162382.131,148599.531,140450.085,132381.500,120340.558,108262.211,103086.349,98462.884,89667.693,82961.759,78340.641,74449.922,69405.036,65913.363,75047.859,74279.520,69480.617,67538.608,63992.275
 94.7,0.000,2.703,36382.795,277233.998,242203.641,222880.776,201196.461,194767.853,173706.831,158929.254,148422.317,138010.091,129145.863,116600.294,110557.628,104800.495,97192.559,93589.037,84946.459,82444.237,76631.259,71505.628,81300.026,80450.074,76227.139,73880.544,69560.917
 98.2,0.000,0.000,20492.730,295114.710,257062.969,238119.295,212997.449,206256.644,184920.093,172461.758,159254.797,150150.770,139335.963,126471.357,120303.255,115777.448,106852.045,100911.579,93579.298,88973.997,82751.889,78831.141,89651.214,89481.645,84308.689,81030.922,77812.499
101.8,0.000,0.487,14543.674,308398.121,267453.876,251328.739,227661.742,215704.579,198186.572,185205.690,170642.510,161321.525,149979.517,137995.924,130307.982,122637.711,116089.342,109391.323,102501.195,98963.515,90512.417,86918.924,97110.471,98009.172,95086.517,88707.597,85116.325
105.5,1.689,1.483,16710.652,325921.002,284193.466,265099.255,239944.555,226616.752,214566.823,197776.872,182329.209,171446.162,159797.047,147904.077,141394.046,132991.921,125179.392,116985.162,111161.169,105877.080,97783.043,94485.156,105737.872,106049.260,102103.149,97507.584,95251.253
109.4,3.381,0.000,24314.166,336699.175,296960.980,280649.625,254928.172,236692.734,221955.434,206308.793,192316.003,182953.389,171753.029,161366.672,150468.794,142769.588,135321.140,126094.382,120598.806,114395.847,106569.090,102900.805,115829.170,114910.625,112376.342,106206.822,101472.475
113.4,1.012,1.912,39969.751,345318.422,305170.113,291103.350,266353.513,253827.090,234175.313,214796.749,203693.349,195808.987,181213.061,169826.070,159855.150,148427.583,143997.073,135080.014,128994.913,123007.445,114835.085,109692.916,125015.456,123902.592,121647.585,114695.911,111342.961
117.6,1.486,6.388,55600.407,363526.506,319515.679,299939.452,275339.059,256142.155,246487.053,225925.279,217735.840,203539.853,188850.724,181751.701,168112.018,161556.303,153283.764,144279.009,138600.790,131602.705,121555.243,115346.481,133685.230,133878.938,128570.690,125314.645,121036.516
121.9,4.364,2.165,73531.254,366198.588,323424.901,304908.058,284335.914,266189.167,250381.339,235406.664,225220.622,213064.072,200472.452,189097.298,177569.430,168833.537,162746.601,152935.194,145362.594,138834.521,131087.822,124468.544,141946.088,142163.423,136437.683,131884.249,127341.663
126.3,2.559,5.035,98396.699,374082.912,327825.964,314765.550,291080.308,273382.345,259433.899,242109.404,229486.176,222050.524,205201.748,195710.979,184977.461,175317.300,170691.650,162086.440,152695.437,144698.520,137417.257,131199.764,150007.919,150658.867,146690.475,140571.550,136863.517
131.0,0.000,0.000,118715.894,373942.876,330622.024,315920.878,298724.480,277322.135,263893.113,247001.140,235760.847,227620.618,211650.673,201091.492,191388.978,184377.255,175826.363,166661.566,158932.615,152437.807,143333.499,135777.827,158991.765,158824.501,152118.762,149539.199,144928.225
135.8,2.137,2.532,136852.928,374290.514,334478.575,314799.068,299275.830,277922.668,266253.433,250217.400,239745.474,231016.436,217075.947,204791.355,196520.807,189320.975,180936.175,172267.317,163248.229,157945.626,148507.744,141602.448,163689.313,163984.913,160193.622,154095.744,150862.330
140.7,3.035,5.731,163920.135,373013.087,330834.199,313155.705,299092.656,276833.881,266602.852,252104.334,241227.735,233761.901,219383.303,208170.959,199372.353,192462.458,185867.734,175223.123,166626.205,162563.108,150936.866,145893.887,169165.438,168832.265,166246.031,160267.169,158276.638
145.9,0.000,1.688,202603.859,359480.700,323945.068,309181.652,296482.152,274757.159,263255.731,249528.574,238486.498,232550.448,220265.968,209975.710,199098.579,194986.913,185180.078,178012.353,168013.018,161689.437,154293.617,148340.467,172777.563,171104.829,168154.244,165893.898,162265.935
151.2,1.286,2.388,237506.228,348997.909,317317.042,304903.891,287986.596,270824.951,259831.755,245426.704,235617.512,229046.393,217875.628,207044.680,199035.220,192082.072,185374.572,175901.130,170482.505,163128.132,155322.322,147598.295,173556.589,174933.457,169142.500,167454.583,163235.985
156.8,0.000,1.585,267334.926,334954.502,303690.166,292161.742,278821.735,263356.717,250953.045,240429.441,231562.167,223083.282,212486.152,203024.224,195805.494,189031.879,182536.291,175334.612,168436.982,162085.275,153961.740,146926.638,172374.614,173358.419,170079.991,167671.844,162605.902
162.5,0.000,0.449,290401.556,314451.945,287660.704,280493.579,267582.735,248669.977,241083.053,230905.422,224254.982,215684.278,203390.085,199326.128,189830.620,185079.798,177326.340,170071.128,164479.126,159896.670,151781.528,144597.896,170111.016,172319.111,168090.736,166238.123,159909.303
168.5,0.000,8.827,306809.873,290536.092,269020.302,262391.623,249913.343,235674.919,226845.660,221084.374,212248.981,204496.242,195675.100,188797.226,182370.279,177915.688,170401.009,163589.139,159300.130,152901.706,146153.477,140916.391,165407.856,166997.592,164552.861,162892.999,160356.344
174.7,0.000,0.000,315941.014,268901.850,249448.341,243492.149,234400.789,220164.392,211691.560,205882.484,198357.650,192775.582,185195.372,177917.971,173856.715,168630.847,162367.115,154881.781,150028.054,144904.216,139371.174,135505.572,157677.914,160642.593,158590.139,157138.227,153580.817
181.1,0.000,0.000,315659.177,239305.339,226890.507,222295.659,214041.452,202371.943,193158.040,188148.339,181208.291,178039.968,171347.895,165198.209,160798.993,156476.445,152030.203,145053.023,142678.920,137154.589,131801.284,126703.555,148150.315,150802.483,151691.656,150292.172,146693.357
187.7,0.000,1.881,302225.182,212731.786,204015.708,200334.696,192727.791,182207.131,176031.590,171555.379,164692.914,163242.069,155353.527,151241.694,147837.275,143739.116,140492.788,134827.919,131394.221,126044.652,121505.062,117564.429,137986.330,141374.937,142652.354,140404.329,137736.530
194.6,0.000,3.965,277052.842,186495.095,178317.620,174517.523,169089.433,162510.743,156108.149,151153.143,147311.135,144500.786,139500.109,134606.578,132395.219,129590.525,125468.944,121325.137,120686.740,116412.322,111615.127,108354.417,124976.105,128988.628,131116.947,129228.326,128591.881
201.7,0.000,6.727,251711.960,161060.038,154969.133,152759.379,148247.596,142725.327,137732.635,134345.965,129941.197,126889.711,123344.353,119910.746,117171.639,114159.702,111831.470,109050.761,107223.781,103599.565,99626.935,97936.283,112303.182,116668.370,119979.369,117374.448,117061.965
209.1,0.000,0.000,219769.885,137023.449,131667.503,130678.854,125308.918,119935.830,115740.584,113913.001,110979.112,108781.116,105513.468,103436.158,101451.479,99055.631,97295.923,94477.986,92675.651,91188.910,87385.312,86348.769,99324.758,102555.107,105438.593,103576.381,105036.522
216.7,4.586,5.426,187258.602,113621.359,108812.969,109521.300,105116.586,100962.742,96977.676,95649.237,93402.062,90374.821,90057.186,87487.794,86017.025,84230.969,83054.985,80681.010,79660.690,77075.778,75296.759,73507.632,86463.587,90032.275,90828.499,92553.095,90204.344
224.7,8.695,8.727,153188.906,93556.180,89376.654,88545.233,85230.055,83082.730,80003.513,79116.003,76919.107,75031.234,73580.530,72728.243,71727.134,70017.728,69499.323,67885.791,67052.914,65405.517,63645.860,62319.723,72482.823,76369.841,77276.570,79536.281,78565.849
232.9,0.000,4.806,122744.101,73462.188,71576.864,70775.692,67533.173,65036.154,64158.100,63210.240,62190.738,60948.505,60143.124,58730.983,59217.287,56860.548,56983.180,54589.720,54591.254,52610.078,51740.373,51541.927,59724.871,63236.359,66022.852,66755.156,65792.863
241.4,0.108,9.912,93291.706,57130.735,55628.169,54439.150,52922.998,50135.610,50178.036,48733.619,48378.299,47461.777,47620.471,46789.094,46568.579,45341.245,44915.165,44132.467,44026.807,42114.578,40369.791,41515.231,48513.325,50719.980,53303.446,54436.224,53397.854
250.3,14.260,0.147,68301.115,43074.043,42759.944,40871.052,40357.384,38960.223,37113.027,36926.977,37237.033,36713.426,36730.322,35672.613,35977.469,35013.830,34801.124,33881.736,33727.239,32353.936,31969.523,32861.760,38032.623,39518.810,42471.024,42925.704,43016.449
