Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
 73.7,0,0,3.71875e+006,626364,483968,411396,352495,308632,273544,241647,216855,194646,175605,162610,147983,134303,125808,111365,104818,97730.6,90864,83544.6,78934.9,71841.6,67637.1,64765.9,61591.1,56172.5,53142.2
 76.4,0,0,2.51077e+006,637070,498697,423996,369012,321251,282600,260357,229467,203453,187134,168992,153782,141033,132155,122511,111098,106496,95863.8,89995.3,84023.5,79658.3,73096.8,69635,66016,60635.7,57482.5
 79.1,0,0,1.48896e+006,647654,509452,441331,385210,330355,291797,265849,241276,213938,194958,179750,162164,150020,143051,131016,119411,113529,103097,96987.3,90182.8,80750.6,78205.1,73976.4,70806.4,65874.3,61645.8
 82.0,0,0,898287,664746,526820,453929,393198,345559,313969,281000,251060,226290,201611,190137,172321,156860,149966,137059,126961,118711,108851,101586,96392.8,87757.3,84614.8,78807.6,74608.5,70551.7,65664.2
 85.1,0,0,505606,667400,534801,459664,400881,358042,317724,285413,258910,235331,215527,198846,181362,166718,154401,145491,132837,124719,115217,107402,101250,94529.1,86989.7,84637.2,79274.6,75363.1,69334.5
 88.2,0,0,264345,680946,546785,470426,415293,364194,325471,297681,269329,241179,222016,203658,187538,175428,163351,150218,140769,130725,119696,113944,106501,99881,95002,87840.2,84736.1,79162.8,74090.4
 91.4,0,0,105100,683426,550994,478485,422652,373642,337491,301082,276696,250603,231156,213850,194028,178389,170738,153814,144223,136559,126073,119845,110984,106508,98821.9,91274.7,86688,82423.7,77081.3
 94.7,0,0,16559.2,689796,557260,484419,429109,378325,338143,309183,286678,258230,233753,218521,197015,186393,175309,163817,152155,142157,129738,124274,118264,107877,103255,95753.1,91187.8,85013.4,79426.5
 98.2,0,5.57193,0,687233,553984,491368,433724,385555,343669,312812,282586,263102,240899,224192,204655,189385,180800,166186,154725,144204,135330,128784,120283,114677,105218,101145,95450.8,89177.7,84082.3
101.8,0,0,0,693718,554040,487793,436547,389643,348821,315834,293756,264510,243286,231042,209347,191648,188292,170410,160188,150413,140532,131916,122613,117421,109228,103170,98010.5,92985.7,88109.2
