Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01
Sample Temp (C),22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.6
Relative Humidity (%),16.9,16.4,16.1,15.8,15.6,15.4,15.2,15.1,15.0,14.9,14.8,14.8,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6
Mean Free Path (m),8.39906e-008,8.39906e-008,8.39906e-008,8.39906e-008,8.39545e-008,8.39545e-008,8.39545e-008,8.39184e-008,8.39184e-008,8.39184e-008,8.40220e-008,8.40220e-008,8.39859e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.43301e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005
Diameter Midpoint (nm)
 85.1,4.191,0.000,0.000,4.052,420152.906,367117.974,295739.474,249019.087,204207.601,172310.246,149855.677,131009.734,113260.770,96984.337,91879.913,76158.638,65136.494,62008.565,54102.603,46830.065,42561.846,39117.329,35591.531,31955.734
 88.2,0.000,0.000,0.000,0.000,599930.137,381763.230,312312.627,267749.097,219765.989,183765.574,163176.896,140376.597,122906.048,104116.883,99440.996,84625.533,71761.570,67188.438,60015.111,51169.454,48254.794,42837.439,38632.031,35201.346
 91.4,4.148,4.355,0.000,0.000,725199.248,407686.454,336413.363,284350.664,238328.374,202931.852,172106.796,152620.572,133770.825,115202.669,107779.075,91105.575,79630.992,73307.797,64561.818,56330.829,52064.867,47363.570,42175.850,37099.247
 94.7,1.520,0.000,0.000,0.000,795653.805,432183.814,353365.046,298439.462,248817.392,217939.451,187767.794,164910.564,141529.018,126171.276,111525.414,98201.023,88774.966,75675.020,71318.165,61545.623,58175.963,51403.132,47303.271,41814.885
 98.2,0.715,1.731,0.000,0.000,828161.185,442976.209,379384.875,317356.043,268277.498,234669.265,201222.258,177563.887,156910.789,136017.527,119911.816,106451.760,94191.403,82812.557,76537.685,68335.226,63905.031,56543.323,52355.091,45868.490
101.8,1.144,0.000,0.000,1.855,846799.075,476835.838,400220.559,339504.707,290093.513,261426.110,215704.653,187646.162,165893.554,151486.147,133508.359,115493.935,105109.349,90815.608,82862.944,76303.432,68274.277,62390.574,57144.226,51410.274
105.5,1.669,0.000,2.109,0.000,851981.091,494985.295,427083.938,363726.519,312129.817,274725.059,236382.222,207089.463,181044.070,162212.956,143908.054,125023.162,117365.802,100184.652,88966.357,83644.348,75494.977,68886.885,61914.271,55851.039
109.4,1.549,3.998,0.000,0.000,873751.654,524946.141,448044.305,387851.714,334834.610,292063.758,254298.517,224486.948,194951.910,169906.399,156270.582,136185.030,127858.118,109176.430,98328.791,91750.016,84022.595,74998.787,68191.698,61466.871
113.4,1.963,4.090,0.000,0.000,891211.518,552848.917,467085.726,411042.564,357866.151,317090.630,271023.283,243874.298,209324.800,187771.130,171694.907,151135.868,136802.866,119859.713,109553.705,99314.942,90840.322,83637.109,75998.939,67687.166
117.6,2.078,0.000,5.373,2.011,929231.338,581642.424,495444.833,432508.595,370729.418,337812.856,289957.471,263044.429,232713.099,201533.736,181018.383,163991.245,147855.052,130681.346,117038.833,107157.913,98599.824,89764.155,82378.831,73708.900
