Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230417.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23
Start Time,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Diameter Midpoint
358.7,0,6.95044,0,0,20303.7,20147.6,21103.4,19946,20295,19071.3,18922.4,18034.1,17623.9,17028.2,16161.6,15197.3,14332.1,13601.8
371.8,0,0,0,0,13995.7,13970.3,13906,14109.7,13741.9,13539,13307.1,12256,12754.4,12062,11605.9,10582.9,9957.69,9889.93
385.4,0,0,0,0,9241.71,9264.61,9715.9,9655.47,9225.27,9376.02,8997.82,8375.36,8272.37,8005.8,8064.59,6799.04,7061.07,6873.96
399.5,0,0,0,0,6255.3,6371.92,6354.41,6123.81,6034.64,5956.39,6137.63,5896.96,5190.51,5385.83,4929,4554.26,4671.39,4435.31
414.2,0,0,0,0,4317.61,3946.35,4359.35,4133.56,4113.57,3916.46,3816.45,3827.24,3499.62,3209.35,3403.63,3013.38,2916.39,3311.31
429.4,0,0,0,0,2541.17,2568.53,2834.48,2627.43,2782.79,2725.64,2620.81,2422.8,1972.06,2250.96,2110.29,2091.93,1918.07,1938.9
445.1,0,0,0,0,1687.14,1815.26,1778.09,1688.65,1511.48,1714.01,1484.54,1505.16,1260.41,1426.04,1399.67,1269.46,1205.92,1064.97
461.4,0,0,0,0,1046.8,1152,1083.27,1062.53,1057.71,1008.45,1017.68,951.066,956.707,888.398,977.358,817.019,794.574,623.864
478.3,0,0,0,0,607.095,586.749,849.008,677.541,513.605,593.042,615.326,562.054,704.185,494.965,467.368,586.989,490.372,511.91
495.8,0,0,0,0,424.565,561.067,423.64,480.374,398.753,397.889,360.044,367.711,303.804,416.006,360.198,343.41,352.405,424.26
514.0,0,0,0,0,301.243,343.082,257.367,304.858,255.85,271.766,321.354,336.225,236.787,243.805,187.462,159.027,223.696,213.642
532.8,0,0,0,0,152.318,232.242,214.972,203.562,186.374,107.258,141.199,163.356,226.498,135.536,138.181,112.113,189.019,116.023
552.3,0,0,0,0,100.804,120.335,141.416,145.878,161.767,149.93,153.028,84.7309,117.423,119.382,110.273,72.1646,123.249,83.3667
572.5,0,0,0,0,97.2426,105.502,102.888,57.3275,93.7354,57.3277,125.839,58.9116,75.1865,80.2781,95.7661,69.648,87.0598,123.361
593.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time(s),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
