Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_dryeronwaterSMPS.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Diameter Midpoint
216.7,67911.1,65148.5,62648.7,59592.5,57297.3,54397.7,52109,50745,47893.3,47560.4,45291.5,43527.2,41747.2,39469
224.7,62716.7,60685.3,56755,54090,53573.3,50042.7,48463.2,45699.2,44616,43271.6,41131.9,39112.8,37527.5,35265.2
232.9,54685.7,53256.1,50925.3,50154.7,46957.1,44667.9,43095.5,42562.9,40865,38677.5,37143.9,35436.7,34959.9,32261.9
241.4,50349.9,48565.6,46300.3,44103.2,42353.2,40413,39279.8,37267.6,35696.3,34669.5,33217.1,32291.3,30536.1,29866.2
250.3,44686,41596,39794.9,38819.8,37492.8,35747.6,35763.8,33337.6,32098.8,30591,30145.5,28420.5,27704.2,25432
259.5,38509.3,36384.6,34648.6,33995.5,32461.2,30843.5,30451.1,29815,28082.4,27690.2,26376.2,25569,23703.7,23371.2
269.0,32543.4,31210.7,30785.3,29353.3,27988.6,27596.4,27068.3,24705.8,23952.7,23168,22705.4,21997.1,20826.2,20180.8
278.8,27380.5,26039.9,25195,24427,23676.4,23253.1,21650.4,20840.9,20759.7,19827.1,19257.7,18409.1,17718.5,16567.7
289.0,22739.1,23154.7,21899.6,21112.5,19887.4,19356.8,19245.5,17538.8,17427.8,16432.4,16575.1,15909.7,14942.2,14343.9
299.6,18602.6,18557.4,17021.5,17132.3,16356.9,15797.7,15558.4,14562.1,14071,14149.9,13261,13251.1,12642.8,11989
310.6,15296.3,15023.2,13920.8,14127.6,12933.8,12915.4,12435.3,13015.1,11991.7,11489.9,10751.3,10847.4,10154.5,9859.96
322.0,12150.4,12045.3,11087.8,11223,11029.3,10582.2,10240.8,9586.93,9530.18,9357.79,8847.29,8563.67,8444.35,8159.22
333.8,9440.27,8868.08,8564.25,9003.84,8543.09,8378.71,8106.44,8125.47,7590.58,7384.59,7504.95,6626.92,6550.06,6267.73
346.0,7202.73,7154.89,6858.27,6027.4,6527.62,6329.6,6541.86,5886.24,5862.48,5628.56,5539.13,5101.36,5205.48,5213.62
358.7,5176.65,5534.83,5014.18,5406.21,5145.34,4722.89,4777.26,4719.91,4475.42,4186.67,4302.41,4049.08,4032.94,4003.22
371.8,4239.25,4135.03,4086.56,3719.64,3504.07,3517.97,3472.01,3294.6,3293.1,3417.36,3281.79,2865.26,2843.85,3027.78
385.4,3050.73,3008.1,3089.05,2778.03,2649.31,2720.56,2495.51,2547.68,2613.15,2361.89,2432.5,2585.11,2070.63,2304.05
399.5,2038.21,2325.83,1994.86,2178.13,1919.24,2054.18,2178.17,1734.94,1956.2,1873.45,1745.51,1673.36,1741.81,1547.98
414.2,1588.14,1711.82,1716.84,1405.93,1385.76,1456.13,1414.14,1251.72,1414.68,1404.47,1144.05,1254.01,1120.83,1169.64
429.4,995.099,1077.92,972.181,1005.42,1007.47,797.773,964.328,883.977,969.654,837.784,868.217,746.721,816.36,864.891
445.1,758.111,890.069,576.729,582.064,571.394,783.347,607.029,842.164,635.208,667.386,718.667,572.758,505.547,609.832
461.4,502.499,478.536,559.831,391.494,421.933,452.327,367.575,465.584,439.464,401.471,421.159,343.745,479.747,420.43
478.3,324.563,419.962,251.272,346.672,372.096,274.95,373.609,183.222,340.073,270.276,281.291,261.186,298.96,263.265
495.8,166.935,160.477,234.468,195.156,257.144,235.455,172.898,122.495,186.875,146.158,200.701,225.694,201.195,207.652
514.0,133.614,109.559,106.688,113.247,124.111,149.02,100.056,109.485,177.492,135.829,222.769,105.105,138.774,108.087
532.8,48.5675,60.1945,100.925,82.9545,51.8636,61.5032,89.2981,43.7175,86.1263,69.6493,103.912,95.5811,89.2981,82.9545
552.3,58.8487,46.3723,37.2715,65.2849,80.9793,23.9595,84.4796,23.9595,87.6977,48.7547,45.5366,41.3254,59.6844,33.0603
572.5,34.6617,16.9035,17.7581,17.7581,27.0645,60.017,42.2588,26.2099,16.9035,17.7581,17.7581,16.9035,16.9035,16.9035
593.5,8.58027,17.1605,8.58027,17.1605,8.58027,0,17.1605,17.1605,38.3788,34.3211,8.58027,17.1605,25.7408,8.58027
615.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time(s),10,10,10,10,10,10,10,10,10,10,10,10,10,10
