Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023
Start Time,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00
Sample Temp (C),22.8,22.8,22.8,22.8,22.8,22.7,22.7,22.6,22.6,22.6,22.5,22.5,22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.2
Sample Pressure (kPa),79.3,79.3,79.3,79.3,79.3,79.4,79.3,79.3,79.2,79.2,79.2,79.1,79.0,78.9,78.8,78.8,78.6,78.6,78.5,78.4,78.4,78.3,78.2,78.2,78.2,78.2,78.2,78.1
Relative Humidity (%),9.2,9.0,8.9,8.9,8.8,8.7,8.7,8.6,8.6,8.5,8.5,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.1
Mean Free Path (m),8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.57520e-008,8.58601e-008,8.58232e-008,8.59316e-008,8.59316e-008,8.58946e-008,8.60032e-008,8.60751e-008,8.61842e-008,8.62564e-008,8.62564e-008,8.64759e-008,8.64386e-008,8.65487e-008,8.66218e-008,8.66218e-008,8.67324e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68808e-008,8.69920e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 53.3,7.376,6.381,449603.157,392841.130,267122.112,195185.771,155116.229,119421.601,96025.008,82810.617,68344.325,54474.025,45641.336,38678.660,32988.440,28825.674,24670.389,21569.759,18768.877,16912.878,15947.150,13487.292,12110.294,10671.075,9490.490,8772.547,8574.191,7548.999
 55.2,4.875,12.276,445028.426,416067.393,283231.552,218097.075,167377.174,132939.099,105759.418,89964.345,76809.581,63595.802,53460.904,44230.493,38430.416,33321.405,28257.797,25270.204,21963.359,19896.288,17952.130,15363.838,14253.272,13329.333,11861.130,10667.142,9820.457,9032.730
 57.3,8.836,25.603,477159.826,434251.716,304926.150,234905.451,186332.922,148046.299,117536.221,101828.733,82226.750,70691.051,58693.059,49489.145,43913.480,39134.809,33206.809,29101.178,25792.099,23150.990,20664.253,17545.435,16595.445,15285.026,13875.070,11957.658,12071.875,10231.396
 59.4,1.400,14.347,510125.396,462152.213,322328.736,246682.443,201725.358,160189.020,128475.127,111340.756,90119.612,77469.968,66809.117,55250.796,50232.774,42263.033,36281.801,33796.622,29257.186,26777.716,23663.563,19843.973,19035.347,17431.947,16133.897,14852.650,14123.105,12211.097
 61.5,3.201,4.557,555150.090,490755.913,342941.969,267614.070,218877.175,175981.911,141717.232,118923.519,101048.588,89023.145,73298.534,64457.578,55849.659,50173.122,42666.950,37228.748,34331.334,29951.823,26857.495,24033.646,22355.835,20453.437,18684.922,17086.941,15372.042,14750.070
 63.8,16.984,15.446,633782.057,508105.902,361849.652,281290.359,234322.725,189276.068,155149.075,133120.762,110179.709,93794.926,80825.044,71349.090,63123.555,54420.108,46252.040,42066.921,38271.470,35503.661,30660.008,26518.945,25973.864,23200.165,21914.843,19613.048,18253.555,17324.434
 66.1,14.159,11.687,703590.283,529834.859,382588.022,304644.313,248704.485,206072.638,168388.147,146726.950,118128.895,105733.263,88384.669,79350.915,70497.410,59276.591,52600.643,48026.699,43972.842,38195.452,34639.034,30763.948,29187.845,26104.585,24576.838,24049.743,20984.679,19642.222
 68.5,22.514,19.337,766255.461,561991.671,409499.503,328038.463,260758.132,216143.201,185614.759,155164.338,134035.369,114077.320,97875.779,87485.170,78669.643,66591.499,57515.948,52381.240,48009.932,43267.889,38650.948,34873.583,31695.552,28979.440,28168.919,25748.924,23078.165,22248.663
 71.0,20.979,17.228,755260.085,566172.381,418682.716,332656.063,270190.335,228355.066,187407.327,164325.255,132871.031,118913.541,101611.073,90650.697,79158.124,68611.069,60688.578,55732.252,50478.755,45888.675,42196.307,35000.822,32480.188,29857.118,28249.191,26135.592,23859.400,22779.094
 73.7,0.702,7.899,778290.097,565749.415,422687.705,336701.226,277434.643,231845.608,199362.336,167278.161,141819.330,123458.034,104207.134,95565.091,84406.705,73352.784,61405.951,55553.784,52877.923,47105.482,42665.675,38084.019,34441.958,31918.401,28922.380,27587.322,26423.451,23476.957
