Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:01
Sample Temp (C),22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.4,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),80.4,80.4,80.4,80.4,80.4,80.4,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.0,80.1,80.1,80.0,80.1,80.0,80.0,79.9,79.7,79.7,79.9,79.8,79.8,79.8,79.8
Relative Humidity (%),14.2,15.9,17.2,18.3,19.2,19.9,20.5,21.1,21.5,21.8,22.1,22.4,22.6,22.8,22.9,23.1,23.2,23.3,23.4,23.5,23.5,23.6,23.7,23.7,23.8,23.8,23.9,23.9
Mean Free Path (m),8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.47180e-008,8.47872e-008,8.50357e-008,8.48930e-008,8.48930e-008,8.49991e-008,8.48930e-008,8.49991e-008,8.49991e-008,8.50689e-008,8.52823e-008,8.52823e-008,8.50689e-008,8.51755e-008,8.51755e-008,8.51388e-008,8.51388e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 57.3,2.669,2.666,1514430.928,851305.573,554618.720,376921.161,257002.920,192317.223,147842.932,115565.649,94409.344,76892.943,61636.989,49084.575,40576.894,36280.063,29124.407,28117.491,23849.330,21333.537,18115.949,15161.007,12708.901,13302.000,10665.653,9199.910,9510.780,8270.740
 59.4,0.000,0.000,1543142.199,870031.630,564768.526,386116.491,276547.218,206040.109,162164.360,128398.063,109265.567,87912.985,69289.077,57281.517,46444.903,41552.634,35125.744,33430.973,27652.347,24280.020,22179.985,17471.377,15517.112,14854.370,13678.825,11989.782,11658.008,10245.358
 61.5,0.000,0.000,1482924.190,878736.066,579767.061,412291.471,299056.524,221258.091,175881.940,139306.701,117323.302,96581.477,78160.666,65168.519,54033.701,48490.060,41047.200,38553.112,32827.233,28627.684,25880.909,20800.818,18151.649,18116.908,15821.050,14040.144,14454.926,12141.408
 63.8,0.000,0.000,1406614.127,893711.649,607516.284,432088.920,315521.310,240688.963,193965.561,157877.994,134345.441,109563.988,86711.803,75648.376,61897.775,55456.953,46695.021,44738.385,38393.436,33000.292,30551.995,24971.267,21840.232,21669.882,19366.765,17401.020,16802.855,14728.365
 66.1,0.000,0.000,1287313.712,925525.063,620839.247,454013.893,342419.408,264824.265,209613.452,170392.840,145864.879,120516.794,98200.494,84500.920,70797.997,61377.195,55266.275,51311.689,43245.545,37844.490,33512.589,28211.793,25322.559,25326.938,23775.848,20809.515,20068.962,18198.387
 68.5,0.000,0.000,1123316.972,948015.633,639264.477,478786.144,354645.212,282169.433,225830.765,183902.184,159180.573,134186.497,111825.178,92842.634,78417.655,71545.433,62405.181,58293.723,49120.363,43190.729,38895.011,33799.302,30335.459,28363.357,27553.114,25194.365,23551.553,21360.439
 71.0,0.000,0.000,1005154.724,943977.286,640050.118,475282.823,362931.904,292564.350,224731.115,184999.737,161338.572,139438.036,113247.294,92230.594,79357.620,68633.349,61484.904,56500.471,47291.862,42393.688,38105.188,31910.894,29500.350,27923.839,25875.826,23995.504,21684.972,20419.189
 73.7,0.000,0.000,967650.025,944044.654,638010.009,474038.060,364202.457,292386.936,225900.111,188713.479,161827.069,139396.100,115978.401,93255.299,78564.084,69646.650,62556.655,56245.239,48110.595,41956.295,37611.862,33395.290,29861.162,26344.458,26038.432,22333.099,20974.083,20240.798
 76.4,0.000,0.000,1047055.324,972345.198,655313.992,495933.809,384926.351,308559.146,244453.870,203725.007,176462.217,153113.838,129841.922,101228.181,87307.696,77902.975,68245.543,61132.190,54053.942,48798.047,40524.034,36470.635,34384.390,31381.116,29888.805,27097.850,24972.399,22391.820
 79.1,0.000,0.000,1113421.906,996044.175,685753.361,515174.334,416595.852,332240.840,266534.318,224219.588,195047.688,165090.605,138936.438,110581.174,95556.304,85685.360,74865.781,71013.369,60788.453,54402.906,44560.264,40935.297,37503.026,36342.579,32422.963,29886.796,27557.724,24922.225
