Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230531_comparison_nodryer_2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,15:54:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:12:00,16:15:00
Sample Temp (C),22.9,23.0,22.9,22.9,22.9,22.8,22.8,22.8
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.4
Relative Humidity (%),6.9,6.8,6.8,6.7,6.6,6.6,6.5,6.5
Mean Free Path (m),8.58257e-008,8.58626e-008,8.58257e-008,8.58257e-008,8.58257e-008,8.58971e-008,8.58971e-008,8.57889e-008
Gas Viscosity (Pa*s),1.83197e-005,1.83245e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83149e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
615.3,2.812,11.259,5.643,5.652,8.492,8.499,11.342,2.835
637.8,14.353,2.873,5.760,5.769,2.889,2.892,0.000,5.787
661.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
685.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.26,1.26,1.26,1.26,1.26,1.25,1.25,1.25
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.97,10.97,10.97,10.97,10.97,10.95,10.95,10.97
High Voltage (V),9140.74,9143.38,9142.09,9142.90,9143.44,9140.01,9140.28,9142.96
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
tf (s),5.82,5.82,5.83,5.83,5.83,5.83,5.83,5.83
D50 (nm),632.7,633.1,633.9,634.5,635.0,635.2,635.5,635.6
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),173.928,173.900,174.009,174.527,175.051,175.295,175.174,174.957
Mean (nm),181.461,181.829,181.723,182.116,182.781,183.171,183.264,182.881
Geo. Mean (nm),168.989,169.237,169.100,169.475,170.013,170.457,170.555,170.168
Mode (nm),187.688,181.056,187.688,181.056,174.658,194.564,187.688,187.688
Geo. Std. Dev.,1.473,1.476,1.478,1.477,1.480,1.478,1.477,1.478
Total Conc. (#/cm³),1.489003e+004,1.426839e+004,1.368390e+004,1.310063e+004,1.249481e+004,1.202167e+004,1.159061e+004,1.107625e+004
Title,,,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,,,
Instrument ID,,,,,,,,
Lab ID,,,,,,,,
Leak Test and Leakage Rate,,,,,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,,,
