Relative Humidity (%),70.4,71.3,72.2,72.9,73.7,74.3,74.9,75.5,76.0,76.5,77.0,77.4,77.8,78.1,78.5,78.8,79.1,79.4,79.6,79.8,80.1,80.3,80.5,80.6,80.8,81.0,81.2
Mean Free Path (m),8.60729e-008,8.60729e-008,8.60729e-008,8.60729e-008,8.60010e-008,8.61100e-008,8.61100e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
174.7,109.647,720209.950,580601.234,544455.994,518079.108,489908.417,456097.879,433378.976,403135.734,379611.928,356511.699,336280.994,314045.146,296637.845,278099.230,260153.859,245681.480,230721.782,215715.165,205392.625,191775.026,180068.051,171169.658,160464.231,149901.698,140569.989,134291.262
181.1,84.836,636994.620,524732.981,503449.386,473553.370,450240.236,424748.384,400592.816,376412.840,353641.346,333903.218,315007.231,295889.392,280060.018,262944.651,245460.761,230740.341,218030.603,204147.310,193629.214,180962.755,171563.664,164400.411,151945.364,142465.178,134960.119,126414.765
187.7,70.342,555454.677,474200.065,457310.231,431228.891,409928.107,387702.773,367359.065,346080.898,328373.548,307383.243,292235.125,274482.628,259541.474,243100.238,230699.237,215420.597,205519.074,190897.605,182197.376,170554.989,161625.714,152771.137,143397.608,134511.221,126328.610,119997.138
194.6,67.053,471185.651,418941.424,404925.192,381714.528,364580.484,345317.795,331857.830,314607.248,298984.359,277950.570,265798.673,249645.326,238233.272,223278.501,207235.148,197536.578,189030.402,176687.807,167266.919,157879.630,148782.950,139996.066,132899.849,125326.311,117895.366,111317.858
201.7,68.313,398700.076,366849.213,349401.148,335308.391,323230.590,308305.405,291801.683,279870.355,265499.196,250102.423,240570.369,223250.191,213168.932,200797.074,190933.548,179190.845,171254.678,160890.688,153113.349,142478.254,135335.980,128177.953,121107.591,114499.323,108193.561,102184.403
209.1,89.856,331062.654,312475.989,303368.462,287687.356,277173.781,266356.980,254238.248,242655.403,230419.672,218405.323,209249.237,197212.878,189408.766,176286.729,167868.101,158136.626,151037.685,141787.744,134670.566,126891.426,119867.492,115182.004,106927.900,101240.744,96276.658,91107.062
216.7,72.506,270069.183,260150.945,253495.931,243018.213,234991.685,226982.338,218325.628,208122.581,197899.377,186989.109,180566.569,170442.307,164204.111,154094.460,145987.849,138802.553,132030.162,124062.165,118222.037,110461.090,106137.324,100486.155,94938.500,89159.539,84511.921,79708.421
224.7,51.651,220051.637,214337.456,207575.866,200659.153,195110.859,188455.391,183229.859,171145.882,165661.037,158502.449,151122.813,145896.263,139909.925,130687.029,124161.575,118557.860,112271.287,106126.660,101888.471,93872.724,90263.191,86559.700,81915.316,77842.332,73020.664,68509.473
232.9,38.023,174952.421,170453.653,165556.264,163399.314,157340.265,152813.801,146854.128,140733.774,136311.419,131017.764,123427.454,121113.903,117015.342,109029.554,103298.207,99135.008,93002.281,89004.755,84829.798,79034.459,75262.967,71812.967,69792.641,65401.167,61162.033,58471.381
241.4,54.474,135928.913,133477.542,131502.331,128641.888,124323.131,121977.525,116514.646,112495.926,108493.375,105213.869,99594.511,97022.105,94370.229,88331.141,84006.182,81071.647,76475.748,72390.897,69519.036,64117.122,62337.031,58949.488,56678.367,53108.213,50334.119,48264.442
250.3,31.175,103756.494,102287.263,101420.376,99339.271,96577.723,93804.658,90371.200,86187.851,85569.243,82036.031,78410.529,74990.936,73499.901,68917.044,66729.217,63149.943,60977.612,58744.694,55927.237,51325.604,49105.976,46253.782,45267.590,41967.480,40101.642,38547.140
