Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00
Sample Temp (C),22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.2,79.3,79.3,79.3,79.3
Relative Humidity (%),6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.0,6.0
Mean Free Path (m),8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.56046e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57494e-008,8.57494e-008,8.57494e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.58207e-008,8.57125e-008,8.57125e-008,8.56756e-008,8.56756e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 59.4,15.777,11.359,15.535,128504.288,213279.620,159595.726,123819.946,98862.470,80801.625,68490.311,58185.071,47956.201,42432.615,35670.188,30875.318,27873.085,25163.088,20907.696,19695.260,17284.818,15811.138,14292.345,13325.843,11275.086,10525.706,9963.579,9007.778,8453.931
 61.5,5.330,14.178,11.243,193615.575,231499.078,172198.994,136899.139,110568.442,90390.067,74728.959,62766.219,54303.903,48543.282,38924.571,35944.080,32021.004,28388.302,25061.428,23475.099,20952.981,18368.504,17013.543,15827.227,13934.371,12940.979,11948.798,10662.678,10234.943
 63.8,11.406,4.900,5.512,273914.005,243152.725,185738.433,145803.220,119776.641,101229.967,82116.800,71442.601,61466.631,54006.582,46362.789,41168.262,36867.215,33156.041,29177.845,27009.974,23460.600,21256.684,19750.142,18118.010,16045.630,14705.838,14001.487,13153.394,12115.084
 66.1,12.628,16.063,10.514,357928.274,259351.456,201937.167,161879.172,133112.248,110380.258,91363.495,79424.863,66546.150,60462.258,51593.430,46891.679,42097.386,37239.842,34481.513,29842.382,26265.756,24246.917,22164.954,21153.674,19159.022,17379.299,16473.669,15022.535,13135.369
 68.5,17.412,12.055,11.300,455859.180,280167.531,213624.253,175095.487,146295.234,122801.987,100324.346,87432.082,75718.388,66344.985,59140.015,51618.907,46980.564,42278.127,39279.905,34834.602,30517.380,27416.028,26102.956,23946.152,22008.217,19448.388,19176.726,17677.193,15981.958
 71.0,11.379,15.226,8.172,521999.328,282765.846,217450.672,177048.779,144281.271,123389.213,104187.802,88773.707,76429.710,66701.903,61700.899,53079.040,48003.239,43825.985,40506.332,34626.387,30832.806,27926.264,25349.434,24449.413,21929.401,20332.019,18799.139,16954.743,15966.849
 73.7,23.089,14.682,16.646,569930.982,298375.760,231061.914,180955.887,151595.401,129344.658,104644.379,93483.442,80199.714,70560.464,63346.686,54178.565,50450.718,44257.147,41917.515,35577.608,31925.399,29090.639,27694.206,25361.434,23857.418,21623.583,19328.171,17965.620,16268.584
 76.4,18.853,16.773,3.156,623202.726,316374.604,238161.533,199579.067,161563.308,142772.767,120381.741,103966.303,87848.492,75842.638,69704.469,61491.336,54253.731,50336.753,47338.944,39625.841,37178.422,32715.561,31657.992,27489.440,26262.913,23076.035,21228.039,20457.055,18026.222
 79.1,22.159,0.191,17.624,663127.035,334200.331,262600.682,216867.176,175305.468,151599.904,125126.890,111481.785,95565.766,82825.232,77729.790,65811.671,60952.481,56527.638,51544.969,45135.203,39847.933,36893.001,35019.893,31708.786,29957.740,27852.539,23647.128,22657.639,21142.531
 82.0,22.075,20.923,23.558,702266.141,351550.293,279617.952,232476.049,190376.037,165213.664,140139.030,122521.013,104370.342,92502.362,84355.737,72974.650,66924.179,60556.390,56623.256,48765.970,45105.554,40630.035,37615.873,35022.275,33355.206,30825.691,27500.874,26403.354,23249.178
 85.1,12.015,4.216,26.044,707925.472,373242.239,297246.569,248847.946,202759.519,177840.902,153065.588,129940.810,110516.224,100795.842,90497.484,80055.955,72008.210,67487.546,62658.916,54680.560,48888.861,43661.036,41734.676,37676.676,37372.713,33621.054,30186.318,29005.097,26431.301
 88.2,20.975,1.228,15.582,704516.983,388757.005,315042.054,270416.082,223846.680,192868.678,163326.793,140890.120,122871.695,110889.088,99806.844,91042.248,78916.845,74402.207,68116.834,61514.590,55230.611,50866.006,46061.854,42417.418,42062.106,37047.283,33954.610,31020.906,29476.901
 91.4,11.040,22.923,21.596,710456.664,416586.242,345488.853,283078.042,231055.335,207194.067,180447.016,158317.098,136578.236,121781.636,111023.305,98753.628,87954.100,83736.604,73732.724,67640.543,59171.092,54708.000,50716.165,48931.307,45150.418,40533.192,37402.716,36754.408,32127.269
 94.7,21.391,15.063,11.104,720695.644,447616.704,359879.234,306286.008,249507.669,222345.725,195889.228,171875.266,146329.968,130851.701,118026.385,106122.993,95812.615,90254.459,80564.651,73472.402,65472.390,61755.798,56517.151,51951.822,49714.800,44873.620,41165.740,40377.961,36860.186
 98.2,12.795,21.134,15.056,750364.432,470621.032,381658.883,321797.907,272512.181,239306.104,206870.531,185360.937,161236.793,143047.722,126448.110,115267.114,107437.794,98096.359,90040.534,80408.076,75247.969,69054.887,64552.811,57437.597,54144.900,49446.250,45865.053,43933.774,40326.225
101.8,22.874,14.187,19.906,763496.223,493395.486,407966.343,347081.310,283922.847,250845.807,221595.161,198231.687,170860.272,154746.164,141097.624,123896.944,113021.832,108888.755,98367.689,88023.238,81060.922,76663.675,69865.909,64761.235,59527.442,55633.114,50863.714,48894.820,44442.895
105.5,15.011,18.147,21.299,785541.739,515092.931,417646.206,363676.541,309001.175,273821.551,236156.312,212720.682,186873.204,166584.479,151396.885,134787.445,125848.556,115527.892,104850.426,98861.970,89338.770,82949.840,76257.584,71636.512,65766.476,60906.031,56598.378,53630.100,50465.139
109.4,17.354,15.196,8.308,802866.077,533326.924,437666.674,379616.365,321913.470,287130.575,251361.386,225114.559,199061.795,176789.285,162459.488,146290.993,138204.480,125739.293,115072.700,104278.553,96662.397,89316.600,81880.022,78706.183,72506.261,67120.483,63179.412,59475.515,54144.303
113.4,14.416,13.475,8.253,796173.260,549668.618,463033.386,395644.133,342583.055,299719.490,267369.385,237756.296,209615.052,188760.089,173437.586,158086.287,145473.477,135106.856,124846.129,111880.321,102558.219,97899.919,87614.231,85227.444,77495.097,73553.187,68806.169,63597.759,61311.968
117.6,16.404,25.867,8.333,796355.954,564724.237,475163.106,409437.417,361272.786,319849.614,281650.619,252222.873,226816.232,207607.906,183266.092,164409.371,155984.200,143361.669,128913.759,123341.608,112361.637,106639.132,96342.909,91567.642,83021.786,79095.900,73814.793,69713.593,65441.054
