Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230410.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23,04/10/23
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:01,12:13:00,12:16:01,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:01,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00
Diameter Midpoint
113.4,0,0,0,0,244735,146983,121835,106002,92005.5,87069.8,76194.5,71199.4,65847.2,62236.7,53766.2,53604.2,49165.2,47427.5,42343.1,39263.5,37499.2,36786.7,32293.9,31692.6
117.6,0,0,0,5.61103,261605,155723,130107,113611,99753.1,92531.2,78777.5,81222.4,70521.7,67279,58751.1,59146.9,54272.4,50390,46992.6,43838.3,42127.7,40005.1,34750.3,32928.1
121.9,0,0,0,0,260033,169352,135934,119495,108941,102347,84557.3,85483.6,78673.9,71076,64755.6,63962.1,57695.8,55825.6,51941.2,50339.6,46650.8,43579.2,37456.1,37825.1
126.3,0,0,0,5.57832,255842,175095,149651,129996,116536,110209,91049.4,92696.6,86332.3,81477.1,70568.3,69061.7,65431.3,61005.5,55359.6,54369.5,49200.4,47345.2,41215.4,41102.5
131.0,0,0,0,0,243569,189774,156986,138966,122173,117587,99123.8,99755.2,90554.5,86501.2,76687.3,75141.3,71138.8,65864.7,60012.6,57954.3,54414,51741.3,45532.2,44457.6
135.8,0,0,0,0,234793,199654,168834,149619,132788,126026,105076,106505,96691.4,92386.6,82303.3,80152.1,75792.6,70710.2,65710.9,62244.9,59275.4,56070.2,48391.1,47415.7
140.7,0,0,0,0,220826,210626,176862,157847,141900,134690,112137,111971,102453,99331.2,88364.2,87293,81029.1,76793.6,69723.9,67164.6,63145.2,59564,50997.2,50898.7
145.9,0,0,0,0,215038,213431,185088,165638,147447,142756,118769,116431,110933,105505,93704.7,93174.7,87110.3,81449.2,74360.1,72299,57568.5,62714.5,56268.8,52927.9
151.2,0,0,0,0,214460,226029,188327,165562,155144,150355,125518,121419,114082,111789,98361.7,96152.7,91411.6,84107.7,78605.9,77659.8,70582.5,66996.3,57720.9,56043.4
156.8,0,0,0,0,213357,232261,194072,173091,161806,153607,131212,126666,118472,116598,102511,101462,93401.1,89844.5,83457,79981.5,74764.6,69989.7,59340.4,58696.2
162.5,0,0,0,0,219113,232644,198420,175421,165418,157814,135357,129508,123270,120052,106491,103249,98413.1,92719.7,85084.8,82376.8,76632,71950.7,61623.5,61643.6
168.5,0,0,0,5.5976,229781,231624,197684,176860,169574,161761,138006,131979,126560,120781,110276,108080,99445.9,93922.3,88275.3,83346.1,76732.5,73879.5,63020.7,61875.4
174.7,0,0,0,0,231047,234134,198443,175177,169217,160901,141613,132326,129067,123576,110808,107725,100302,94589.5,88449.6,84858.8,76974.8,73483,64325.7,62033.9
181.1,0,0,0,0,230415,228330,197230,173849,167978,159515,141710,129379,124966,123789,110590,105082,100068,96659.1,88563.5,84510.8,77755.4,74233,63533.7,62694.1
187.7,0,0,0,0,223800,220335,189308,169229,164001,156499,140385,125360,123184,123269,109999,107643,101338,94640.9,88226.2,82796.7,77770.9,73145,62870.9,61318.2
194.6,0,0,0,0,214448,210206,179144,164014,157291,152453,137228,122947,118373,116345,106559,103506,96701.5,92472.4,85594.7,81570.7,74913.1,70668.6,61961.6,60040.8
201.7,0,0,0,0,203892,198209,170803,154064,153564,146400,130717,116451,115436,112250,102313,99346.2,92339.9,89551.6,81556.9,77302.9,72992.9,68192.7,58337,57714.2
209.1,0,0,0,0,192296,185299,156960,142256,144741,137386,124826,108878,109364,107402,97427.2,96499.9,88324.1,83995.7,77815,73925.1,69684.9,63770.8,56539,55170.4
216.7,0,0,0,0,181449,166658,144074,131054,131504,128410,113588,102538,101399,99838.6,91427.1,88602.7,82084.2,79076.2,72016.6,69587.3,64464.2,61054.1,51892.1,52699.1
224.7,0,0,0,0,163074,150922,130656,119251,122268,116332,105409,95057.5,92992.8,92968.6,84862.7,82283.9,77712.5,71788.2,67629.7,63894.9,59737.5,56906.7,49328.1,47515.7
232.9,0,0,0,0,143655,135929,116697,106064,108575,105660,96755.2,83144.2,85181.5,84095.1,76003.8,73876.9,69908.2,66470.5,61937.5,57755.3,55053.4,51521.9,44032.2,43911.6
241.4,0,0,0,0,128199,114073,102813,93304.1,96469.3,93786.6,84885.3,76199.2,74732.2,74578.6,69880.8,66501.3,62610.3,61106,54592.8,51714.6,50464.6,46709.7,40220.8,39969.4
250.3,0,0,0,0,111900,98784.8,88724.4,79100.8,84023.7,80305,73919,63875.5,64935.5,65437.1,61668.4,59614.7,56066.5,53582,48578.4,46021.5,43423.9,41382.7,35497.8,35186.2
259.5,0,0,0,0,93676.6,84881.1,74860.3,68132.2,71176.5,69750.4,63075.8,56202.4,56907,57110.2,52537.8,50355.2,47321.3,46017.9,42322.6,40517.1,37942.3,35857.3,30156,29907.2
269.0,0,0,0,0,75427.8,69942.2,62598.1,57599.3,60484.1,57734,53029.1,47603.1,48551,48843.1,44683.9,43062.3,40958.4,38722.8,35350.5,34079,32434.2,29749.3,25737.8,25645
