Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230323.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Date,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:01,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:00,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:00,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00
Diameter Midpoint
 57.3,0,44240.6,152169,115644,91365.4,73829.6,61513.4,50060.8,42233.5,43492.8,37466.6,29616.2,26972.1,23410.9,19882,17313.7,15053,14237.4,12614.8,11295.7,9931.66,9537.78,8596.4,7622.92,7972.95,7192.27,6434.02,6379.49,5202.4,4544.76,4759.29,4453.51,3925.49,4113.27,3841.34,3896.24,3810.34,3346.22,3034.37,2629.36,2826.66
 59.4,0,61730.4,157282,125467,100361,80709.8,66116.7,56961.1,46484.4,50233,42356.2,34140.3,33054.9,26898.9,23336.4,19868.9,17940.2,16102.3,14625.8,12773.2,12033.2,11614.5,10526.4,8935.28,9583.02,8656.37,7720.6,7045.81,6457.99,6431.82,5557.78,5589.4,4822.6,4877.15,4797.39,4605.8,4459.33,4017.6,3631.74,3427.73,3237.66
 61.5,0,94071.3,167521,132792,107824,88319.8,74193.8,62926.6,53476.2,56620,49246.3,39178.7,35538.4,29984.2,26343.2,23697.3,20758.8,18817.1,17123.6,15858,14443.9,13605.6,12322.1,11237.2,11725.3,10777.1,8442.05,9029.56,7788.08,7585.61,7003.19,6635.21,5836.84,6146.27,6161.31,5433.23,5220.5,4955.23,4400.05,4109.29,4307.04
 63.8,0,112221,175687,137917,118183,98419.4,80834,69687.8,58946.7,64941.9,54872.5,44347.1,41635,34900,30483.8,27356.2,24124.2,21986.2,20441.6,18072.7,16316.7,15478,14530.1,13163,13534.8,12382.8,11070.3,10596,9347.95,8834.79,8386.17,7821,7095.76,7420.46,6947.89,6464.37,6403.92,6031.72,5751.02,4559.41,4741.06
 66.1,0,134386,183506,156891,128456,105586,90369.9,76070.7,65327.9,73003.7,62703.8,50199.2,47163.2,40541.7,35921.5,31039.9,28009.1,25656.6,23197.7,21540.9,18987.7,17910.9,16203.3,15174.9,15888.5,14722,12783.8,12320.3,11361.3,11034.9,9216.49,9148.89,8534.98,8520.09,8529.4,7893.2,7853.7,7235.28,6814.34,6225.75,5539.36
 68.5,0,191192,195775,161898,141381,116556,99453.1,85578,74186.3,79555.3,69269.7,57046.3,53774.2,45486.4,40164.9,36323.2,33377,29622.1,26230.8,24772.1,22314.8,21304.1,19679.8,18012,19633.4,17705.6,15234,14445.2,13191.1,12684.2,11463,10910.7,9999.1,10256,10752.9,9846.65,9089.17,8503.32,8022.7,6956.73,6579.22
 71.0,0,237798,205504,174639,149257,125663,108418,94242.8,81311.4,89357,77318.1,63684.5,59675.2,52619.6,45176.3,41429.4,37286.8,33203.2,31496.5,29097.5,25750.6,24723.4,22491.3,20754.3,21278.5,20397.2,17636.2,17258.5,14879.5,14449.5,14271.4,13275,12099.2,11982.2,12676.1,11502.8,10394.3,10533.2,9552.49,8838.23,8755.96
 73.7,0,278903,220034,186417,160084,135445,116569,102275,91812.2,98201,87765.7,72381.4,68195.1,59862.1,51788.4,46378.1,42873.7,38189.9,36033.4,33492.2,29646.9,29205,26324.4,24485.7,25455.9,23877.3,21173.1,20332.4,18268.1,17378,16183.7,15398.4,14148,14391,14426.5,13475.3,13312.3,12320.3,10967.7,10095.5,9910.76
 76.4,0,297887,231445,199324,171076,148933,129423,113840,101261,109179,98421.1,80510.5,75737.7,66999.3,59239.6,52404.5,47572,43103.6,40292.5,38675.1,35283.4,31406.2,29559.1,27836.4,29550,26512.7,24381.1,23929.9,21742.1,20103.2,18923.1,17528.5,16722.6,17365.8,17203.8,16256.1,15928.6,14473.6,12939.3,12281.3,11589.5
 79.1,0,310931,244376,208620,185866,159350,139055,124219,111206,122840,109642,88128.3,84859.9,75189.7,65791.4,59655.8,54448.5,48570,46460.4,43078.6,39966.4,36757.1,34246.9,32066.8,34589.6,31801.1,28503.1,27088,25026.6,22758.8,22396.7,20898.6,19247.7,19646.9,19973.6,18649.6,17296.3,16782.6,15362.9,13872.1,13622
